,quote,author,tags
0,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one",George R.R. Martin,Tags: read readers reading reading-books
1,You can never get a cup of tea large enough or a book long enough to suit me,C.S. Lewis,Tags: books inspirational reading tea
2,You believe lies so you eventually learn to trust no one but yourself,Marilyn Monroe,
3,"If you can make a woman laugh, you can make her do anything",Marilyn Monroe,Tags: girls love
4,"Life is like riding a bicycle. To keep your balance, you must keep moving",Albert Einstein,Tags: life simile
5,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space,Marilyn Monroe,Tags: love
6,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left",Marilyn Monroe,Tags: attributed-no-source
7,Only in the darkness can you see the stars,Martin Luther King Jr.,Tags: hope inspirational
8,"It matters not what someone is born, but what they grow to be",J.K. Rowling,Tags: dumbledore
9,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up",James Baldwin,Tags: love
