,quote,author,tags
0,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution",J.K. Rowling,Tags: truth
1,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to",Jimi Hendrix,Tags: death life
2,To die will be an awfully big adventure,J.M. Barrie,Tags: adventure love
3,It takes courage to grow up and become who you really are,E.E. Cummings,Tags: courage
4,But better to get hurt by the truth than comforted with a lie,Khaled Hosseini,Tags: life
5,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it,Harper Lee,Tags: better-life-empathy
6,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children",Madeleine L'Engle,Tags: books children difficult grown-ups write writers writing
7,Never tell the truth to people who are not worthy of it,Mark Twain,Tags: truth
8,"A person's a person, no matter how small",Dr. Seuss,Tags: inspirational
9,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge",George R.R. Martin,Tags: books mind
